respondent_id,age,gender,country,education_level,employment_status,industry,job_role_level,work_experience_years,income_bracket,household_dependents,perceived_automation_risk,role_partially_automated,pct_tasks_automatable,ai_awareness,enrolled_reskilling,learning_platform,upskilling_hours_per_week,willingness_to_reskill,biggest_barrier,preferred_learning_mode,top_skill_pursued,reskilling_awareness_source,employer_provides_reskilling,govt_reskilling_subsidies,satisfaction_employer_ld,would_switch_for_reskilling,career_confidence_5yr,career_anxiety,accept_lower_pay_futureproof,expected_role_change_timeline,successful_reskill_transition,automation_vulnerability_idx,reskilling_engagement_score,support_ecosystem_score,anxiety_to_action_ratio,income_reskilling_gap,future_readiness_idx
R00020,26,Male,India,High School/Diploma,Self-employed/Freelancer,Agriculture,Entry-level,6,₹25-50L,1.0,3,No,61-80%,3,No,None,0.0,3,Lack of Awareness,On-the-job Training,None,Peers/Network,No,No,1,Yes,3,4,No,4,No,0.41,0.125,0.0,5.556,Complacent High Earner,0.558
R00021,43,Male,India,Master's,Unemployed - Seeking,Manufacturing,Executive/C-suite,21,,2.0,3,Yes,41-60%,3,No,None,2.2,3,Lack of Awareness,On-the-job Training,Digital Marketing,Employer,No,No,3,Yes,3,4,No,5,Yes,0.65,0.358,0.175,2.038,Unknown,0.542
R00022,43,Male,Brazil,Below High School,Full-time Employed,Healthcare,Executive/C-suite,21,R$150-300K,4.0,3,No,0-20%,3,No,None,0.0,3,Family Responsibilities,Hybrid,None,Peers/Network,No,No,2,Yes,2,4,No,6,No,0.23,0.125,0.088,5.556,Complacent High Earner,0.425
R00023,39,Male,UK,Master's,Full-time Employed,Government/Public Sector,Executive/C-suite,15,>£120K,3.0,2,No,0-20%,4,No,None,1.6,3,Time,Online Instructor-led,UX/UI Design,Peers/Network,No,Unsure,3,Yes,3,3,No,7,No,0.13,0.349,0.325,1.393,Complacent High Earner,0.508
R00024,28,Male,Philippines,Bachelor's,Full-time Employed,Construction/Real Estate,Entry-level,6,₱150-350K,1.0,2,No,41-60%,2,No,None,0.0,4,Time,Online Self-paced,None,Self-Research,No,Unsure,1,Yes,2,3,No,8,No,0.25,0.188,0.15,2.525,At-Risk Low Earner,0.479
R00025,23,Female,Nigeria,Bachelor's,Unemployed - Seeking,Education,Entry-level,0,₦4-8M,2.0,2,No,21-40%,3,No,YouTube/Free Resources,2.4,5,Time,Online Instructor-led,Cybersecurity,Government Campaign,No,No,2,Yes,5,3,No,9,No,0.19,0.486,0.088,1.008,At-Risk Low Earner,0.85
R00026,34,Non-Binary,UAE,Master's,Full-time Employed,Government/Public Sector,Mid-level,13,AED 480-720K,0.0,2,No,0-20%,2,No,None,0.0,3,Employer Doesn't Support,In-person Classroom,None,Government Campaign,Yes,Yes,4,No,3,2,No,8,No,0.13,0.125,0.912,1.852,Complacent High Earner,0.492
R00027,46,Female,Singapore,Master's,Part-time Employed,Manufacturing,Executive/C-suite,24,S$90-150K,0.0,3,No,21-40%,2,Yes,Udemy,10.1,4,Family Responsibilities,Online Instructor-led,Data/AI & Machine Learning,Government Campaign,No,No,2,No,1,3,No,5,No,0.29,0.789,0.088,0.626,Invested High Earner,0.429
R00028,32,Female,India,PhD,Full-time Employed,Manufacturing,Senior,7,>₹50L,1.0,3,No,0-20%,3,Yes,YouTube/Free Resources,1.1,3,No Relevant Programs,Online Self-paced,Cloud Computing,Government Campaign,No,No,2,Yes,2,1,No,7,Yes,0.23,0.592,0.088,0.0,Complacent High Earner,0.408
R00029,30,Male,UAE,Master's,Full-time Employed,Healthcare,Mid-level,8,AED 120-240K,2.0,3,No,21-40%,4,No,None,0.0,4,Time,Online Self-paced,None,Employer,Yes,Yes,4,Yes,5,3,No,4,No,0.29,0.188,0.912,2.525,At-Risk Low Earner,0.846
R00030,41,Female,Japan,Bachelor's,Full-time Employed,Technology/IT,Mid-level,20,,1.0,4,No,21-40%,3,Yes,YouTube/Free Resources,3.9,4,Family Responsibilities,Hybrid,Cloud Computing,Employer,Yes,Unsure,4,No,2,2,No,1,No,0.39,0.696,0.762,0.354,Unknown,0.596
R00031,48,Female,USA,Master's,Full-time Employed,Healthcare,Senior,23,$120-200K,0.0,3,Yes,21-40%,4,Yes,Udemy,1.4,4,Time,On-the-job Training,Cybersecurity,Peers/Network,No,No,2,No,1,3,No,2,No,0.59,0.659,0.088,0.747,Complacent High Earner,0.479
R00032,28,Female,UK,Master's,Full-time Employed,Financial Services,Mid-level,7,£80-120K,2.0,5,Yes,41-60%,4,Yes,LinkedIn Learning,3.0,4,Family Responsibilities,Online Instructor-led,UX/UI Design,Self-Research,Yes,No,4,No,3,3,No,1,Yes,0.85,0.682,0.612,0.723,Complacent High Earner,0.696
R00033,37,Male,Germany,Master's,Full-time Employed,Manufacturing,Senior,16,€40-65K,4.0,4,Yes,61-80%,2,Yes,LinkedIn Learning,9.2,4,No Relevant Programs,Online Self-paced,Data/AI & Machine Learning,Peers/Network,Yes,Unsure,3,Yes,2,4,No,3,Yes,0.81,0.776,0.675,0.954,Striving Upskiller,0.562
R00034,33,Male,Philippines,Bachelor's,Self-employed/Freelancer,Education,Senior,12,₱700K-1.5M,2.0,1,No,0-20%,3,No,None,0.0,5,Lack of Awareness,Online Instructor-led,None,Self-Research,Yes,No,4,Yes,4,3,Yes,8,No,0.03,0.25,0.612,1.923,Complacent High Earner,0.767
R00035,29,Prefer Not to Say,India,Bachelor's,Full-time Employed,Energy/Utilities,Mid-level,6,₹3-6L,3.0,3,No,21-40%,2,Yes,YouTube/Free Resources,4.6,3,Time,Hybrid,Cybersecurity,News/Media,Yes,No,2,No,3,3,No,10,No,0.29,0.644,0.438,0.765,At-Risk Low Earner,0.458
R00036,29,Non-Binary,UAE,Bachelor's,Unemployed - Not Seeking,Retail/E-commerce,Entry-level,9,<AED 60K,2.0,2,No,0-20%,4,Yes,Bootcamp,1.2,3,Employer Doesn't Support,Online Self-paced,Soft Skills/Leadership,Self-Research,No,No,2,Yes,3,3,No,6,No,0.13,0.593,0.088,0.829,At-Risk Low Earner,0.525
R00037,23,Female,Nigeria,Master's,Self-employed/Freelancer,Healthcare,Mid-level,3,,0.0,3,No,0-20%,3,No,None,0.0,5,Time,Online Instructor-led,None,Social Media,No,No,3,Yes,3,3,No,8,No,0.23,0.25,0.175,1.923,Unknown,0.667
R00038,29,Prefer Not to Say,USA,Master's,Full-time Employed,Retail/E-commerce,Mid-level,5,$50-75K,0.0,3,No,0-20%,2,No,None,0.0,3,Cost,In-person Classroom,None,Social Media,No,Unsure,3,No,3,2,No,5,No,0.23,0.125,0.325,1.852,At-Risk Low Earner,0.542
R00039,32,Female,South Africa,Master's,Unemployed - Not Seeking,Retail/E-commerce,Entry-level,13,R80-200K,2.0,3,No,21-40%,3,No,None,0.0,3,Cost,Online Instructor-led,None,Employer,No,No,2,Yes,2,4,No,6,No,0.29,0.125,0.088,5.556,At-Risk Low Earner,0.425
R00040,29,Male,Brazil,High School/Diploma,Full-time Employed,Government/Public Sector,Mid-level,9,R$20-40K,2.0,2,No,21-40%,2,Yes,YouTube/Free Resources,1.0,3,Cost,Online Self-paced,Project Management,Peers/Network,No,Yes,2,Yes,4,1,No,4,No,0.19,0.59,0.387,0.0,At-Risk Low Earner,0.658
R00041,44,Male,USA,Bachelor's,Part-time Employed,Manufacturing,Senior,23,$75-120K,3.0,3,No,21-40%,4,No,None,0.0,5,Time,Online Self-paced,None,Government Campaign,No,Unsure,4,No,4,5,Yes,4,No,0.29,0.25,0.412,3.846,Complacent High Earner,0.833
R00042,29,Female,UK,High School/Diploma,Full-time Employed,Healthcare,Manager/Director,8,>£120K,2.0,2,No,0-20%,4,No,None,0.0,1,Employer Doesn't Support,Hybrid,None,Employer,No,Unsure,3,No,4,1,No,7,No,0.13,0.0,0.325,0.0,Complacent High Earner,0.433
R00043,42,,Brazil,High School/Diploma,Full-time Employed,Logistics/Supply Chain,Senior,17,R$20-40K,2.0,3,No,21-40%,1,No,None,0.0,2,Cost,Peer Learning/Mentorship,None,Employer,Yes,No,4,No,3,3,Yes,10,No,0.29,0.062,0.612,6.944,At-Risk Low Earner,0.371
R00044,39,Prefer Not to Say,UAE,Master's,Self-employed/Freelancer,Technology/IT,Mid-level,20,AED 480-720K,4.0,3,No,61-80%,5,No,YouTube/Free Resources,0.0,5,Lack of Awareness,Online Instructor-led,None,Peers/Network,Yes,No,5,No,4,3,No,1,No,0.41,0.25,0.7,1.923,Complacent High Earner,0.883
R00045,25,Male,Philippines,High School/Diploma,Full-time Employed,Manufacturing,Entry-level,0,₱150-350K,2.0,3,No,21-40%,2,No,None,0.0,3,Lack of Awareness,On-the-job Training,None,Employer,No,No,2,Yes,4,3,No,5,No,0.29,0.125,0.088,3.704,At-Risk Low Earner,0.642
R00046,28,Female,Germany,Below High School,Part-time Employed,Logistics/Supply Chain,Senior,8,€65-100K,0.0,4,Yes,81-100%,4,No,None,0.0,5,No Relevant Programs,On-the-job Training,None,Social Media,Yes,Yes,3,Yes,3,3,No,4,Yes,0.87,0.25,0.825,1.923,Complacent High Earner,0.733
R00047,22,Female,Philippines,Bachelor's,Unemployed - Seeking,Government/Public Sector,Entry-level,0,<₱150K,1.0,4,Yes,81-100%,3,Yes,YouTube/Free Resources,4.7,5,Family Responsibilities,In-person Classroom,Project Management,Social Media,No,No,2,Yes,2,3,Yes,1,No,0.87,0.77,0.088,0.641,At-Risk Low Earner,0.683
R00048,39,Male,India,Bachelor's,Full-time Employed,Healthcare,Mid-level,19,₹3-6L,2.0,4,No,41-60%,3,No,University/College Program,1.7,5,Cost,On-the-job Training,Green/Sustainability Skills,News/Media,Yes,No,4,No,3,4,Yes,4,No,0.45,0.476,0.612,1.543,At-Risk Low Earner,0.733
R00049,34,Male,USA,Master's,Unemployed - Seeking,Manufacturing,Entry-level,9,$120-200K,0.0,3,No,41-60%,3,No,None,0.0,5,No Relevant Programs,On-the-job Training,None,News/Media,No,Unsure,2,Yes,4,3,No,9,No,0.35,0.25,0.238,1.923,Complacent High Earner,0.75
R00050,31,Female,India,Master's,Full-time Employed,Healthcare,Mid-level,10,₹6-12L,1.0,3,No,41-60%,5,No,None,0.0,4,Family Responsibilities,Online Self-paced,None,Peers/Network,No,No,2,No,2,4,No,6,No,0.35,0.188,0.088,3.788,At-Risk Low Earner,0.512
R00051,39,Male,India,Bachelor's,Full-time Employed,Government/Public Sector,Senior,17,₹6-12L,2.0,3,Yes,21-40%,2,Yes,YouTube/Free Resources,3.1,3,Cost,Online Instructor-led,Project Management,Social Media,No,No,4,No,3,5,Yes,7,No,0.59,0.621,0.262,1.585,At-Risk Low Earner,0.508
R00052,35,Female,South Africa,Bachelor's,Student,Education,Entry-level,17,R200-400K,2.0,4,Yes,41-60%,4,Yes,University/College Program,2.3,2,Lack of Awareness,On-the-job Training,Cybersecurity,Employer,No,Unsure,2,Yes,2,5,No,4,Yes,0.75,0.547,0.238,1.795,At-Risk Low Earner,0.371
R00053,24,Male,Germany,Master's,Full-time Employed,Financial Services,Entry-level,1,€65-100K,0.0,4,No,21-40%,2,Yes,University/College Program,1.1,5,No Relevant Programs,Hybrid,Data/AI & Machine Learning,Peers/Network,No,Yes,2,Yes,4,3,No,1,No,0.39,0.716,0.387,0.689,Complacent High Earner,0.883
R00054,46,Male,South Africa,High School/Diploma,Unemployed - Seeking,Retail/E-commerce,Mid-level,22,<R80K,2.0,3,Yes,41-60%,3,No,None,0.0,2,Lack of Awareness,Online Self-paced,None,Employer,No,Yes,4,No,4,2,No,2,No,0.65,0.062,0.562,3.472,At-Risk Low Earner,0.604
R00055,41,Male,UK,Bachelor's,Part-time Employed,Education,Senior,19,£50-80K,3.0,3,No,0-20%,2,Yes,YouTube/Free Resources,11.4,4,Time,Online Self-paced,Project Management,Self-Research,No,No,3,No,5,3,Yes,5,Yes,0.23,0.808,0.175,0.611,Invested High Earner,0.829
R00056,29,Male,India,High School/Diploma,Part-time Employed,Financial Services,Mid-level,4,₹3-6L,2.0,4,No,61-80%,4,Yes,Udemy,10.1,3,Family Responsibilities,On-the-job Training,Digital Marketing,Social Media,No,Unsure,2,Yes,3,3,No,4,No,0.51,0.726,0.238,0.679,Striving Upskiller,0.558
R00057,31,Male,UK,High School/Diploma,Part-time Employed,Energy/Utilities,Mid-level,12,£50-80K,2.0,1,No,21-40%,3,Yes,Udemy,4.4,5,Time,Online Instructor-led,Project Management,Employer,No,Unsure,1,Yes,3,3,No,11,No,0.09,0.766,0.15,0.644,Complacent High Earner,0.617
R00058,37,Prefer Not to Say,Japan,Master's,Full-time Employed,Logistics/Supply Chain,Senior,14,¥3-5M,3.0,4,No,61-80%,4,No,None,0.0,2,Employer Doesn't Support,Online Self-paced,None,Employer,No,Yes,4,No,2,5,No,3,Yes,0.51,0.062,0.562,10.0,At-Risk Low Earner,0.388
R00059,37,Male,Germany,Master's,Part-time Employed,Retail/E-commerce,Manager/Director,13,€100-150K,,4,No,21-40%,3,No,None,0.0,3,Employer Doesn't Support,In-person Classroom,None,Peers/Network,No,Unsure,4,Yes,3,2,No,3,No,0.39,0.125,0.412,1.852,Complacent High Earner,0.575
R00060,57,Female,Germany,High School/Diploma,Student,Technology/IT,Entry-level,33,€40-65K,0.0,3,Yes,41-60%,3,Yes,Udemy,2.4,3,Family Responsibilities,Online Instructor-led,Soft Skills/Leadership,News/Media,No,No,3,No,3,3,No,1,No,0.65,0.611,0.175,0.805,At-Risk Low Earner,0.608
R00061,37,Prefer Not to Say,Japan,Bachelor's,Full-time Employed,Financial Services,Senior,18,¥3-5M,2.0,3,No,41-60%,3,No,None,0.0,3,Lack of Awareness,Online Instructor-led,None,Peers/Network,Yes,Unsure,5,No,4,5,No,1,Yes,0.35,0.125,0.85,7.407,At-Risk Low Earner,0.708
R00062,28,Female,Philippines,PhD,Full-time Employed,Government/Public Sector,Senior,2,₱350-700K,0.0,5,Yes,41-60%,3,No,None,0.0,5,Family Responsibilities,Online Self-paced,None,None,No,Unsure,2,No,4,3,No,4,No,0.85,0.25,0.238,1.923,At-Risk Low Earner,0.833
R00063,47,Male,USA,Master's,Full-time Employed,Manufacturing,Executive/C-suite,24,>$200K,2.0,2,No,61-80%,5,No,Bootcamp,0.0,3,Family Responsibilities,Hybrid,None,Employer,No,No,1,No,3,2,Yes,8,No,0.31,0.125,0.0,1.852,Complacent High Earner,0.492
R00064,48,Female,Japan,High School/Diploma,Full-time Employed,Financial Services,Executive/C-suite,24,>¥20M,4.0,2,No,0-20%,3,No,None,0.0,4,Family Responsibilities,Hybrid,None,Government Campaign,Yes,Yes,4,No,4,4,Yes,9,Yes,0.13,0.188,0.912,3.788,Complacent High Earner,0.662
R00065,31,Male,Japan,Bachelor's,Self-employed/Freelancer,Government/Public Sector,Manager/Director,9,¥12-20M,2.0,4,Yes,41-60%,3,Yes,University/College Program,2.6,4,Employer Doesn't Support,Hybrid,Digital Marketing,Social Media,No,No,1,Yes,3,4,Yes,3,No,0.75,0.676,0.0,1.093,Complacent High Earner,0.662
R00066,53,Male,USA,Bachelor's,Self-employed/Freelancer,Construction/Real Estate,Manager/Director,32,$75-120K,1.0,2,Yes,0-20%,3,Yes,Company Internal LMS,3.2,3,No Relevant Programs,Online Self-paced,Green/Sustainability Skills,Government Campaign,No,Unsure,2,No,3,3,Yes,6,No,0.43,0.623,0.238,0.79,Complacent High Earner,0.525
R00067,38,Female,Japan,High School/Diploma,Full-time Employed,Retail/E-commerce,Manager/Director,17,>¥20M,3.0,3,Yes,81-100%,2,Yes,Company Internal LMS,3.8,3,Family Responsibilities,Online Self-paced,Soft Skills/Leadership,News/Media,No,No,2,No,2,4,No,4,No,0.77,0.632,0.088,1.168,Complacent High Earner,0.458
R00068,36,Male,Philippines,Master's,Part-time Employed,Construction/Real Estate,Senior,14,₱150-350K,3.0,3,No,21-40%,3,No,None,0.0,4,Lack of Awareness,Hybrid,None,Peers/Network,No,Unsure,2,No,3,3,No,3,No,0.29,0.188,0.238,2.525,At-Risk Low Earner,0.662
R00069,42,Prefer Not to Say,Australia,Bachelor's,Full-time Employed,Financial Services,Manager/Director,19,A$160-250K,2.0,4,No,41-60%,2,No,None,0.0,3,Employer Doesn't Support,Online Instructor-led,None,News/Media,Yes,No,4,No,2,5,Yes,2,No,0.45,0.125,0.612,7.407,Complacent High Earner,0.492
R00070,20,Female,USA,Bachelor's,Full-time Employed,Retail/E-commerce,Entry-level,0,$50-75K,1.0,2,No,0-20%,3,No,None,0.0,5,Family Responsibilities,In-person Classroom,None,Social Media,No,No,1,No,3,3,No,5,Yes,0.13,0.25,0.0,1.923,At-Risk Low Earner,0.717
R00071,25,Male,USA,Master's,Unemployed - Seeking,Government/Public Sector,Mid-level,1,$120-200K,1.0,2,No,21-40%,3,No,None,2.5,3,Time,On-the-job Training,Cybersecurity,Employer,No,No,2,Yes,4,1,Yes,11,No,0.19,0.363,0.088,0.0,Complacent High Earner,0.542
R00072,33,Male,USA,Master's,Full-time Employed,Manufacturing,Mid-level,9,<$25K,2.0,3,Yes,81-100%,4,No,LinkedIn Learning,0.0,4,Time,Hybrid,None,Peers/Network,No,No,1,No,3,4,Yes,3,No,0.77,0.188,0.0,3.788,At-Risk Low Earner,0.662
R00073,37,Female,UK,Bachelor's,Full-time Employed,Education,Mid-level,12,<£15K,0.0,2,No,81-100%,4,Yes,LinkedIn Learning,1.4,3,Lack of Awareness,Online Self-paced,Digital Marketing,Self-Research,No,No,2,No,4,4,No,6,Yes,0.37,0.596,0.088,1.238,At-Risk Low Earner,0.625
R00074,50,Female,USA,PhD,Full-time Employed,Healthcare,Senior,24,$75-120K,0.0,3,Yes,0-20%,5,No,None,0.0,4,Time,Online Self-paced,None,Employer,No,Yes,3,No,3,3,No,4,No,0.53,0.188,0.475,2.525,Complacent High Earner,0.646
R00075,42,Female,USA,Bachelor's,Part-time Employed,Logistics/Supply Chain,Senior,22,$25-50K,4.0,4,Yes,61-80%,3,No,None,0.0,3,Family Responsibilities,Online Self-paced,None,News/Media,No,No,1,No,2,4,No,4,No,0.81,0.125,0.0,5.556,At-Risk Low Earner,0.458
R00076,33,Male,Japan,Bachelor's,Full-time Employed,Media/Entertainment,Manager/Director,13,¥5-8M,1.0,2,Yes,21-40%,1,No,University/College Program,0.0,4,Family Responsibilities,Online Instructor-led,None,Employer,No,No,3,No,3,4,No,9,Yes,0.49,0.188,0.175,3.788,At-Risk Low Earner,0.562
R00077,39,Male,India,Bachelor's,Unemployed - Seeking,Construction/Real Estate,Mid-level,13,>₹50L,3.0,4,Yes,61-80%,3,Yes,YouTube/Free Resources,15.1,2,Time,Online Self-paced,UX/UI Design,None,No,No,3,Yes,2,5,No,2,Yes,0.81,0.739,0.175,1.335,Invested High Earner,0.404
R00078,30,Male,Philippines,Bachelor's,Student,Energy/Utilities,Entry-level,8,₱150-350K,3.0,2,No,0-20%,3,Yes,Company Internal LMS,18.8,4,Cost,On-the-job Training,Cloud Computing,Employer,No,No,1,Yes,3,3,No,9,Yes,0.13,0.92,0.0,0.538,Striving Upskiller,0.562
R00079,37,Male,Nigeria,Master's,Full-time Employed,Logistics/Supply Chain,Executive/C-suite,15,₦15-30M,4.0,2,Yes,0-20%,2,Yes,Company Internal LMS,1.5,4,Time,Hybrid,Data/AI & Machine Learning,None,No,Yes,3,No,2,2,No,9,No,0.43,0.66,0.475,0.373,Complacent High Earner,0.462
R00080,32,Male,Brazil,High School/Diploma,Full-time Employed,Agriculture,Senior,7,R$150-300K,0.0,3,No,21-40%,3,No,None,0.0,5,Lack of Awareness,In-person Classroom,None,Employer,No,Unsure,2,Yes,2,2,No,5,Yes,0.29,0.25,0.238,0.962,Complacent High Earner,0.617
R00081,37,Male,Brazil,High School/Diploma,Unemployed - Seeking,Education,Senior,15,<R$20K,3.0,4,Yes,81-100%,3,No,None,0.0,3,Lack of Awareness,Online Self-paced,None,News/Media,No,Yes,2,No,1,5,No,4,No,0.87,0.125,0.387,7.407,At-Risk Low Earner,0.358
R00082,31,Male,Nigeria,PhD,Student,Agriculture,Entry-level,5,₦15-30M,2.0,2,Yes,0-20%,4,No,Bootcamp,0.0,5,Cost,Peer Learning/Mentorship,None,Employer,No,No,1,Yes,3,4,Yes,9,Yes,0.43,0.25,0.0,2.885,Complacent High Earner,0.65
R00083,39,Female,India,Bachelor's,Self-employed/Freelancer,Healthcare,Mid-level,16,<₹3L,2.0,3,No,61-80%,3,No,Bootcamp,3.0,4,Lack of Awareness,Online Self-paced,Data/AI & Machine Learning,Peers/Network,Yes,No,2,No,3,5,No,9,Yes,0.41,0.432,0.438,2.262,At-Risk Low Earner,0.562
R00084,26,Female,USA,PhD,Full-time Employed,Government/Public Sector,Mid-level,4,$50-75K,0.0,4,Yes,41-60%,3,Yes,Bootcamp,1.3,3,Family Responsibilities,Hybrid,Digital Marketing,Social Media,No,Unsure,2,Yes,3,4,Yes,6,No,0.75,0.594,0.238,1.242,At-Risk Low Earner,0.525
R00085,43,Male,USA,Bachelor's,Full-time Employed,Retail/E-commerce,Manager/Director,19,$120-200K,3.0,2,No,21-40%,2,No,None,0.0,4,Family Responsibilities,Online Self-paced,None,Self-Research,No,Unsure,5,No,3,4,No,11,No,0.19,0.188,0.5,3.788,Complacent High Earner,0.529
